row_index,CUSTOM.date [local],OSD.latitude_raw,OSD.longitude_raw,OSD.height_ft,lat0_deg,lon0_deg,ground_lat_deg,ground_lon_deg,ground_h_m,dist_along_road_m,dist_from_road_m
1,11/13/2025,411458353764122.00000000,249153112047979.00000000,407.10000000,41.14583538,24.91531120,41.14556644,24.91533304,67.26436615,423.02942517,-6.94420545
2,11/13/2025,41145835466569.00000000,249153109870849.00000000,407.10000000,41.14583547,24.91531099,41.14556617,24.91532905,67.26436615,422.69260579,-6.73507880
3,11/13/2025,411458347712680.93750000,249153142935337.00000000,407.40000000,41.14583477,24.91531429,41.14635660,24.92730131,78.19641113,1431.58223586,-51.70105318
4,11/13/2025,411458348934446.00000000,249153144344645.00000000,407.40000000,41.14583489,24.91531443,41.14636859,24.92748309,77.67642212,1446.90042272,-52.38758263
5,11/13/2025,411458350766336.93750000,249153138727414.00000000,407.10000000,41.14583508,24.91531387,41.14619469,24.92484740,79.16311646,1224.79567945,-43.38001452
6,11/13/2025,411458350746043.06250000,249153138785903.00000000,407.40000000,41.14583507,24.91531388,41.14619528,24.92485631,79.16311646,1225.54675122,-43.39248219
7,11/13/2025,411458349241718.00000000,249153136291791.00000000,407.40000000,41.14583492,24.91531363,41.14620366,24.92498329,77.86378479,1236.24725530,-42.31342594
8,11/13/2025,411458341042962.00000000,24915314388752.00000000,407.10000000,41.14583410,24.91531439,41.14602705,24.92230745,72.44699097,1010.75758081,-33.59663737
9,11/13/2025,411458341810775.06250000,249153142541976.00000000,407.10000000,41.14583418,24.91531425,41.14602654,24.92229974,72.44699097,1010.10792581,-34.79380492
10,11/13/2025,411458344295248.93750000,249153135084713.00000000,407.10000000,41.14583443,24.91531351,41.14592865,24.92081704,68.70129395,885.16316697,-28.12799914
11,11/13/2025,411458345422238.00000000,249153133107694.00000000,407.40000000,41.14583454,24.91531331,41.14593176,24.92086407,68.70129395,889.12632982,-29.12182063
12,11/13/2025,411458347841852.00000000,249153138832453.00000000,407.40000000,41.14583478,24.91531388,41.14585375,24.91968259,68.80986786,789.56391978,-23.62628943
13,11/13/2025,411458348687992.93750000,249153139026705.00000000,407.40000000,41.14583487,24.91531390,41.14585324,24.91967492,68.80986786,788.91772124,-23.98485032
14,11/13/2025,411458348954095.06250000,249153141170986.00000000,407.40000000,41.14583490,24.91531412,41.14584983,24.91962324,68.80986786,784.56260368,-23.05765148
15,11/13/2025,411458346686048.00000000,249153149830613.00000000,407.40000000,41.14583467,24.91531498,41.14580167,24.91889409,68.66543579,723.11750577,-19.86071132
16,11/13/2025,41145834668935.00000000,249153150019234.00000000,407.40000000,41.14583467,24.91531500,41.14579934,24.91885875,68.66543579,720.13956284,-19.58244009
17,11/13/2025,411458345264532.00000000,249153150808088.00000000,407.40000000,41.14583453,24.91531508,41.14580032,24.91887350,68.66543579,721.38256773,-19.88185743
18,11/13/2025,411458341871246.00000000,249153151605203.00000000,407.40000000,41.14583419,24.91531516,41.14574597,24.91805069,67.06382751,652.04506562,-18.15541310
19,11/13/2025,411458342273248.93750000,249153152114745.00000000,407.40000000,41.14583423,24.91531521,41.14574698,24.91806595,67.06382751,653.33048562,-18.35189597
20,11/13/2025,41145835105096.00000000,24915315213166.00000000,407.40000000,41.14583511,24.91531521,41.14567344,24.91695263,67.27756500,559.51168410,-14.80235715
21,11/13/2025,411458351159792.93750000,249153151397136.00000000,407.40000000,41.14583512,24.91531514,41.14567260,24.91693989,67.27756500,558.43846462,-15.01877380
22,11/13/2025,411458351658095.06250000,249153151448536.00000000,407.40000000,41.14583517,24.91531514,41.14567104,24.91691623,67.27756500,556.44450779,-14.19750977
23,11/13/2025,411458344361768.93750000,249153157104461.00000000,407.40000000,41.14583444,24.91531571,41.14563965,24.91644114,68.04100037,516.40889185,-10.65861153
24,11/13/2025,411458345036812.93750000,24915315773433.00000000,407.40000000,41.14583450,24.91531577,41.14563951,24.91643902,68.04100037,516.23021446,-10.32083543
25,11/13/2025,411458342765936.93750000,249153156966544.00000000,407.40000000,41.14583428,24.91531570,41.14563926,24.91643517,68.04100037,515.90578465,-10.31128604
26,11/13/2025,411458337713276.00000000,249153161286311.00000000,407.40000000,41.14583377,24.91531613,41.14561127,24.91601151,67.84561157,480.20412763,-8.61449653
27,11/13/2025,411458337683538.00000000,249153161280331.00000000,407.40000000,41.14583377,24.91531613,41.14561158,24.91601627,67.84561157,480.60459605,-8.79019267
28,11/13/2025,411458336489395.06250000,24915316082866.00000000,407.40000000,41.14583365,24.91531608,41.14560935,24.91598248,67.84561157,477.75733516,-8.76368997
29,11/13/2025,41145834563001.00000000,24915314745722.00000000,407.40000000,41.14583456,24.91531475,41.14556398,24.91529576,67.26436615,419.88742091,-8.80966631
30,11/13/2025,411458345242894.00000000,249153147619511.00000000,407.40000000,41.14583452,24.91531476,41.14556384,24.91529375,67.26436615,419.71825378,-8.78320539
31,11/13/2025,41145834751271.00000000,249153146647554.00000000,407.40000000,41.14583475,24.91531466,41.14556381,24.91529319,67.26436615,419.67066470,-8.70152537
32,11/13/2025,411458345187996.00000000,249153140791824.00000000,407.10000000,41.14583452,24.91531408,41.14551984,24.91462783,68.44885254,363.60155514,-6.34755654
33,11/13/2025,411458345185104.93750000,249153140717622.00000000,407.10000000,41.14583452,24.91531407,41.14552003,24.91463063,68.44885254,363.83714938,-6.39162021
34,11/13/2025,411458346250140.93750000,249153138709809.00000000,407.10000000,41.14583463,24.91531387,41.14545318,24.91361903,68.28485107,278.58954960,-3.65376719
35,11/13/2025,411458345853299.06250000,249153141590981.00000000,407.10000000,41.14583459,24.91531416,41.14545230,24.91360573,68.28485107,277.46827945,-2.94468031
36,11/13/2025,411458345722608.00000000,249153141997651.00000000,407.10000000,41.14583457,24.91531420,41.14545317,24.91361896,68.28485107,278.58345735,-3.12142372
37,11/13/2025,411458343383463.06250000,249153137745368.00000000,407.10000000,41.14583434,24.91531377,41.14536368,24.91226495,67.72315979,164.48038570,-2.70372703
38,11/13/2025,411458342014055.06250000,249153140111729.00000000,407.10000000,41.14583420,24.91531401,41.14536154,24.91223255,67.72315979,161.75056699,-1.88113945
39,11/13/2025,411458338772280.93750000,249153131078266.00000000,407.40000000,41.14583388,24.91531311,41.14529472,24.91122177,67.72315979,76.57159194,8.50683406
40,11/13/2025,411458337690598.00000000,249153131713929.00000000,407.10000000,41.14583377,24.91531317,41.14524683,24.91049739,72.25234955,15.52754032,2.82231962
41,11/13/2025,411458335453448.93750000,249153131266652.00000000,407.40000000,41.14583355,24.91531313,41.14524164,24.91041894,72.12290955,8.91641099,3.72900107
42,11/13/2025,411458339102184.00000000,249153125220054.00000000,407.40000000,41.14583391,24.91531252,41.14523464,24.91031313,71.94612122,0.00000000,11.63987994
43,11/13/2025,41145833887593.00000000,249153125444191.00000000,407.40000000,41.14583389,24.91531254,41.14523464,24.91031313,71.94612122,0.00000000,11.94197523
44,11/13/2025,411458336832428.00000000,249153122936833.00000000,407.40000000,41.14583368,24.91531229,41.14523464,24.91031313,71.94612122,0.00000000,11.67543648
45,11/13/2025,411458330809366.00000000,249153122239211.00000000,407.40000000,41.14583308,24.91531222,41.14523464,24.91031313,69.83346558,0.00000000,4.54452117
46,11/13/2025,411458330607432.93750000,249153122342359.00000000,407.40000000,41.14583306,24.91531223,41.14581929,24.91916076,70.72494507,745.58942047,-1.98592661
47,11/13/2025,411458330458364.93750000,249153120959238.00000000,407.40000000,41.14583305,24.91531210,41.14590919,24.92052228,69.83346558,860.32403706,0.40051160
48,11/13/2025,411458326981094.00000000,249153116872538.00000000,407.10000000,41.14583270,24.91531169,41.14597089,24.92145681,70.72494507,939.07557467,-1.94044703
49,11/13/2025,411458328343424.93750000,249153117105263.00000000,407.40000000,41.14583283,24.91531171,41.14606055,24.92281489,70.72494507,1053.51924514,0.10541202
50,11/13/2025,41145833305445.00000000,249153113859649.00000000,407.40000000,41.14583331,24.91531139,41.14620533,24.92500861,69.13063812,1238.38049690,-3.48408357
51,11/13/2025,411458333971576.93750000,249153112292287.00000000,407.40000000,41.14583340,24.91531123,41.14624086,24.92554706,67.74779510,1283.75470662,-3.65797041
52,11/13/2025,411458334475263.06250000,249153112917526.00000000,407.40000000,41.14583345,24.91531129,41.14635613,24.92729421,69.73921967,1430.98391853,-0.59205619
53,11/13/2025,411458335523324.93750000,249153112306202.00000000,407.40000000,41.14583355,24.91531123,41.14637635,24.92760071,69.73921967,1456.81204044,-2.24827682
